zpid,addressStreet,unit,addressCity,addressState,addressZipcode,homeType,beds,baths,area,pgapt,price,homeStatus,priceForHDP,taxAssessedValue,zestimate,rentZestimate,daysOnZillow,isPreforeclosureAuction,brokerName,latitude,longitude,hasOpenHouse,openHouseStartDate,openHouseEndDate,builderName,is_newHome,StreetNumber,Street
37316871,12804 Weiss St,,Rockville,MD,20853,SINGLE_FAMILY,3.0,3.0,1311.0,ComingSoon,420000,FOR_SALE,420000,313300.0,464700.0,2995.0,7,False,"RE/MAX Realty Centre, Inc.",39.06559,-77.09357,,,,,,12804.0,Weiss St
37105657,1617 Marshall Ave,,Rockville,MD,20851,SINGLE_FAMILY,4.0,2.0,1287.0,ComingSoon,518000,FOR_SALE,518000,402700.0,522100.0,2900.0,3,False,Compass,39.07934,-77.11938,True,2023-09-24 11:00:00,2023-09-24 13:00:00,,,1617.0,Marshall Ave
37202763,4904 Morning Glory Ct,,Rockville,MD,20853,SINGLE_FAMILY,4.0,4.0,3972.0,ForSale,1049000,FOR_SALE,1049000,680700.0,918000.0,3891.0,182,False,The Agency DC,39.10374,-77.09948,,,,,,4904.0,Morning Glory Ct
37107257,1705 Pitt Pl,,Rockville,MD,20850,SINGLE_FAMILY,4.0,3.0,2486.0,ForSale,725000,FOR_SALE,725000,662500.0,726100.0,3288.0,5,False,"Long & Foster Real Estate, Inc.",39.10525,-77.16815,,,,,,1705.0,Pitt Pl
60254758,305 Redland Blvd APT 403,Apt 403,Rockville,MD,20850,CONDO,3.0,3.0,1869.0,ComingSoon,610000,FOR_SALE,610000,450000.0,557600.0,3200.0,4,False,"Long & Foster Real Estate, Inc.",39.113644,-77.17035,,,,,,305.0,Redland Blvd
37107135,717 College Pkwy,,Rockville,MD,20850,SINGLE_FAMILY,5.0,4.0,2746.0,ForSale,800000,FOR_SALE,800000,671900.0,823800.0,3556.0,7,False,"Long & Foster Real Estate, Inc.",39.09781,-77.16667,,,,,,717.0,College Pkwy
2055470512,Farm Haven Court Farm Hvn #27,# 27,Rockville,MD,20852,SINGLE_FAMILY,4.0,3.0,2397.0,ForSale,850000,FOR_SALE,850000,,,,2,False,RE/MAX Excellence Realty,39.0579,-77.14823,,,,,,,Farm Haven Court Farm Hvn
37214651,15609 Thistlebridge Dr,,Rockville,MD,20853,SINGLE_FAMILY,4.0,5.0,3477.0,ForSale,995000,FOR_SALE,995000,680400.0,989600.0,3646.0,7,False,Perennial Real Estate,39.11414,-77.07944,True,2023-09-24 13:00:00,2023-09-24 15:00:00,,,15609.0,Thistlebridge Dr
37320223,14236 Briarwood Ter,,Rockville,MD,20853,SINGLE_FAMILY,5.0,3.0,1934.0,ForSale,649990,FOR_SALE,649990,473100.0,,,83,False,"RE/MAX Realty Centre, Inc.",39.08871,-77.09769,,,,,,14236.0,Briarwood Ter
37104567,1007 Scott Ave,,Rockville,MD,20851,SINGLE_FAMILY,4.0,3.0,2074.0,ForSale,615000,FOR_SALE,615000,386800.0,631500.0,3042.0,7,False,"Long & Foster Real Estate, Inc.",39.08305,-77.13279,,,,,,1007.0,Scott Ave
